Day,Staff,Performance
2024-09-01,Glenn,Good
2024-09-01,JinLyn,Fair
2024-09-01,Patricia,Poor
2024-09-01,Russell,Good
2024-09-01,CiuLu,Fair
2024-09-01,Netanya,Excellent
2024-09-01,Iqah,Good
2024-09-01,Vendo,Excellent
2024-09-02,JinLyn,Excellent
2024-09-02,Hanis,Excellent
2024-09-02,Bill,Fair
2024-09-02,Sarah,Poor
2024-09-02,Patricia,Fair
2024-09-02,Hailey,Excellent
2024-09-03,Shava,Fair
2024-09-03,Russell,Excellent
2024-09-03,JinLyn,Fair
2024-09-03,Netanya,Poor
2024-09-03,Patricia,Fair
2024-09-03,Hanis,Good
2024-09-04,Shava,Fair
2024-09-04,Russell,Excellent
2024-09-04,Glenn,Fair
2024-09-04,Hailey,Excellent
2024-09-04,Patricia,Good
2024-09-04,Sarah,Poor
2024-09-05,Glenn,Good
2024-09-05,Netanya,Fair
2024-09-05,Patricia,Fair
2024-09-05,Hanis,Good
2024-09-05,Bill,Good
2024-09-05,Sarah,Poor
2024-09-06,Shava,Excellent
2024-09-06,Netanya,Fair
2024-09-06,Adrian,Fair
2024-09-06,Lois,Good
2024-09-07,Bill,Good
2024-09-07,CiuLu,Fair
2024-09-07,Glenn,Fair
2024-09-07,Cayee,Poor
2024-09-07,Hanis,Excellent
2024-09-07,Shava,Fair
2024-09-07,JinLyn,Fair
2024-09-07,Sarah,Poor
2024-09-07,Marinette,Good
2024-09-07,Iqah,Good
2024-09-07,Hailey,Good
2024-09-07,Vendo,Fair
2024-09-07,Adrian,Good
2024-09-07,Lois,Good
2024-09-08,Netanya,Good
2024-09-08,Iqah,Fair
2024-09-08,Vendo,Good
2024-09-08,Adrian,Good
2024-09-09,Cayee,Fair
2024-09-09,CiuLu,Good
2024-09-09,Hailey,Good
2024-09-09,JinLyn,Good
2024-09-09,Bill,Fair
2024-09-09,Sarah,Fair
2024-09-09,Shava,Good
2024-09-09,Glenn,Fair
2024-09-09,Hanis,Excellent
2024-09-10,JinLyn,Poor
2024-09-10,Glenn,Good
2024-09-10,Russell,Excellent
2024-09-10,Bill,Fair
2024-09-10,Cayee,Good
2024-09-10,Netanya,Good
2024-09-10,CiuLu,Good
2024-09-10,Shava,Good
2024-09-10,Hanis,Good
2024-09-11,Shava,Good
2024-09-11,Cayee,Excellent
2024-09-11,Russell,Excellent
2024-09-11,Glenn,Fair
2024-09-11,Patricia,Fair
2024-09-11,Hailey,Good
2024-09-11,CiuLu,Good
2024-09-11,Bill,Fair
2024-09-11,Sarah,Fair
2024-09-12,CiuLu,Good
2024-09-12,Shava,Excellent
2024-09-12,Netanya,Excellent
2024-09-12,Patricia,Poor
2024-09-12,Glenn,Fair
2024-09-12,Hanis,Excellent
2024-09-12,Cayee,Good
2024-09-12,Bill,Good
2024-09-12,Sarah,Good
2024-09-13,Netanya,Fair
2024-09-13,Vendo,Excellent
2024-09-13,Adrian,Excellent
2024-09-13,Russell,Excellent
2024-09-13,Lois,Fair
2024-09-13,Marinette,Good
2024-09-13,Iqah,Good
2024-09-13,JinLyn,Poor
2024-09-13,Glenn,Fair
2024-09-13,Patricia,Fair
2024-09-13,Hailey,Excellent
2024-09-14,JinLyn,Poor
2024-09-14,Patricia,Fair
2024-09-14,Hanis,Excellent
2024-09-14,Lois,Excellent
2024-09-14,Sarah,Poor
2024-09-14,Marinette,Fair
2024-09-14,Iqah,Excellent
2024-09-14,Vendo,Excellent
2024-09-14,Hailey,Excellent
2024-09-14,Adrian,Fair
2024-09-15,JinLyn,Fair
2024-09-15,Netanya,Fair
2024-09-15,Iqah,Good
2024-09-15,Vendo,Excellent
2024-09-15,CiuLu,Fair
2024-09-15,Bill,Excellent
2024-09-15,Glenn,Fair
2024-09-15,Russell,Excellent
2024-09-15,Patricia,Fair
2024-09-15,Cayee,Good
2024-09-15,Shava,Good
2024-09-15,Hailey,Excellent
2024-09-16,Cayee,Good
2024-09-16,Bill,Good
2024-09-16,Hanis,Good
2024-09-16,Shava,Fair
2024-09-16,Glenn,Good
2024-09-16,Sarah,Poor
2024-09-16,CiuLu,Fair
2024-09-16,Patricia,Good
2024-09-16,Hailey,Excellent
2024-09-17,Cayee,Poor
2024-09-17,JinLyn,Good
2024-09-17,Hanis,Excellent
2024-09-17,Bill,Fair
2024-09-17,CiuLu,Good
2024-09-17,Russell,Excellent
2024-09-18,Glenn,Good
2024-09-18,Bill,Fair
2024-09-18,Sarah,Fair
2024-09-18,Glenn,Fair
2024-09-18,Bill,Good
2024-09-18,Patricia,Fair
2024-09-18,JinLyn,Good
2024-09-18,Hailey,Good
2024-09-18,Shava,Good
2024-09-18,Cayee,Excellent
2024-09-18,Russell,Good
2024-09-19,Bill,Poor
2024-09-19,Cayee,Good
2024-09-19,Sarah,Poor
2024-09-19,Glenn,Good
2024-09-19,CiuLu,Excellent
2024-09-19,Hanis,Good
2024-09-19,JinLyn,Fair
2024-09-19,Patricia,Good
2024-09-19,Netanya,Poor
2024-09-20,Cayee,Good
2024-09-20,CiuLu,Good
2024-09-20,Hailey,Good
2024-09-20,Glenn,Fair
2024-09-20,Shava,Excellent
2024-09-20,Russell,Excellent
2024-09-20,Patricia,Good
2024-09-20,Bill,Fair
2024-09-20,Netanya,Excellent
2024-09-21,JinLyn,Fair
2024-09-21,CiuLu,Good
2024-09-21,Patricia,Poor
2024-09-21,Shava,Fair
2024-09-21,Hanis,Fair
2024-09-21,Sarah,Fair
2024-09-21,Adrian,Good
2024-09-21,Lois,Good
2024-09-21,Marinette,Poor
2024-09-21,Iqah,Fair
2024-09-21,Hailey,Good
2024-09-21,Vendo,Good
2024-09-22,Glenn,Fair
2024-09-22,Patricia,Good
2024-09-22,Russell,Excellent
2024-09-22,CiuLu,Fair
2024-09-22,Bill,Good
2024-09-22,Netanya,Fair
2024-09-23,CiuLu,Good
2024-09-23,Russell,Good
2024-09-23,Shava,Good
2024-09-23,Hailey,Good
2024-09-23,Cayee,Poor
2024-09-23,Hanis,Excellent
2024-09-24,JinLyn,Good
2024-09-24,Sarah,Good
2024-09-24,Patricia,Excellent
2024-09-24,Netanya,Excellent
2024-09-24,Bill,Fair
2024-09-24,Hanis,Excellent
2024-09-25,JinLyn,Excellent
2024-09-25,Russell,Excellent
2024-09-25,Patricia,Good
2024-09-25,Hailey,Excellent
2024-09-25,Glenn,Fair
2024-09-25,Sarah,Poor
2024-09-26,Bill,Excellent
2024-09-26,Netanya,Excellent
2024-09-26,Cayee,Good
2024-09-26,Hanis,Excellent
2024-09-26,Patricia,Fair
2024-09-26,Sarah,Poor
2024-09-27,JinLyn,Fair
2024-09-27,Netanya,Excellent
2024-09-27,Shava,Fair
2024-09-27,Russell,Excellent
2024-09-27,CiuLu,Fair
2024-09-27,Hailey,Good
2024-09-28,Glenn,Poor
2024-09-28,Bill,Good
2024-09-28,Hanis,Excellent
2024-09-28,Cayee,Good
2024-09-28,JinLyn,Good
2024-09-28,Sarah,Fair
2024-09-28,Shava,Fair
2024-09-28,CiuLu,Good
2024-09-28,Hailey,Excellent
2024-08-25,Hailey,Excellent
2024-08-25,Russell,Excellent
2024-08-25,Hanis,Excellent
2024-08-25,Netanya,Good
2024-08-25,Shava,Poor
2024-08-25,Iqah,Good
2024-08-25,Sarah,Fair
2024-08-25,Lois,Poor
2024-08-25,Glenn,Fair
2024-08-26,Hailey,Fair
2024-08-26,Russell,Good
2024-08-26,Hanis,Fair
2024-08-26,Netanya,Good
2024-08-26,Shava,Good
2024-08-26,Iqah,Good
2024-08-26,Sarah,Fair
2024-08-26,Lois,Fair
2024-08-26,Glenn,Good
2024-08-27,Sarah,Good
2024-08-27,Lois,Good
2024-08-27,Glenn,Fair
2024-08-27,Netanya,Good
2024-08-27,Shava,Fair
2024-08-27,Iqah,Good
2024-08-27,Hailey,Good
2024-08-27,Russell,Good
2024-08-27,Hanis,Excellent
2024-08-28,Hailey,Good
2024-08-28,Russell,Good
2024-08-28,Hanis,Excellent
2024-08-28,Netanya,Good
2024-08-28,Shava,Good
2024-08-28,Iqah,Poor
2024-08-28,Sarah,Poor
2024-08-28,Lois,Excellent
2024-08-28,Glenn,Fair
2024-08-29,Sarah,Fair
2024-08-29,Lois,Excellent
2024-08-29,Glenn,Fair
